experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
fewshot,patchcore,carpet,10,0,0.9771268057784912,0.9936363229069487,0.9875472744928446,0.5629041206175625,0.9048391682156193,0.5947414683148702,0.4232256591259972,0.0022730469249134053,0.46538636088371277,0.9332720001111738,0.4831466406661396,5.0,0.36839529871940613,0.582920491695404
fewshot,patchcore-coreset,carpet,10,0,0.9678972712680577,0.9911130991873599,0.986706296495643,0.5672386782098314,0.892532841825944,0.5978048151991475,0.42633495085354406,0.003250951002970021,0.4814382493495941,0.644781997834798,0.34672840180981934,0.5,0.4059482514858246,0.6000433564186096
fewshot,prototype-only,carpet,10,0,0.9803370786516854,0.9946371919493617,0.9866156186169475,0.52172296146081,0.8620103626849883,0.5726944001042447,0.4012416122700507,0.0012445891420724206,7.956027507781982,3030.479346001812,1.0289018548344475,0.1259765625,5.395997524261475,11.060990333557129
fewshot,ppm-ad-full,carpet,10,0,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3079.76425599918,2.32575694863977,0.1259765625,4.855003833770752,8.765924453735352
fewshot,patchcore,carpet,10,1,0.9807383627608346,0.9945993622536351,0.9880534841897948,0.6029408655474334,0.893368664140211,0.6030770533386488,0.4317181951803456,0.0031358993850382592,0.48028045892715454,0.964951999776531,0.49602255578656307,5.0,0.38687220215797424,0.5971196889877319
fewshot,patchcore-coreset,carpet,10,1,0.9622792937399679,0.9892562921064548,0.9863236050676507,0.5944902091093837,0.8260287413729921,0.6000986388557893,0.42867208755715336,0.003743754697885573,0.5009468197822571,0.7342940007220022,0.355465094169351,0.5,0.4343729317188263,0.6135233640670776
fewshot,prototype-only,carpet,10,1,0.9863563402889246,0.9965398646709289,0.990307673942732,0.6351373079052441,0.8422512818449653,0.6273389081635679,0.45702388731968396,0.0013752319490669262,9.285598754882812,3293.680062997737,1.0280501797425154,0.1259765625,5.320011615753174,12.178488731384277
fewshot,ppm-ad-full,carpet,10,1,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3062.1919260011055,2.287421034475884,0.1259765625,4.954025745391846,11.661517143249512
fewshot,patchcore,carpet,10,2,0.9686998394863563,0.9912815024171302,0.9860932379705907,0.5819446945433503,0.8651014489097247,0.5794282716245525,0.407883854120609,0.0026777104295836315,0.42414385080337524,0.9604320002836175,0.4868034957947894,5.0,0.3389820158481598,0.514609694480896
fewshot,patchcore-coreset,carpet,10,2,0.9614767255216693,0.9888871472441455,0.9838035796967716,0.572023153277002,0.8074802487300419,0.5787207848995417,0.40718303536060424,0.0025375881599652467,0.4379538595676422,0.7575260024168529,0.3463755472803003,0.5,0.3698118031024933,0.5270968675613403
fewshot,prototype-only,carpet,10,2,0.9558587479935794,0.9879190836342864,0.9785135957322704,0.5456787104628131,0.8712166595369055,0.5558459427161089,0.3848937998772253,0.0023762743205155115,6.82945442199707,3190.4504609992728,1.0175005215395274,0.1259765625,4.920188903808594,9.52952766418457
fewshot,ppm-ad-full,carpet,10,2,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3291.043848999834,2.312412401340388,0.1259765625,4.942074775695801,7.909035682678223
fewshot,patchcore,carpet,20,0,0.979935794542536,0.9944763435652842,0.9880821325423905,0.5692807055340791,0.7888262844756584,0.5970041358217775,0.42552095203178725,0.0012124947552311508,0.45717892050743103,1.4684880006825551,0.8461562310057915,10.0,0.3570452034473419,0.5780009031295776
